Sir Anthony Absolute 
Nick Adams 
Parson Adams 
Frankie Addams 
Anthony Adverse 
Captain Ahab 
Albertine 
Alceste 
Algernon 
Ali Baba 
Count Almaviva 
The Alvings 
Amaryllis 
Ananse 
Pamela Andrews 
Angelica 
Harry Angstrom 
Mr. and Mrs. Antrobus 
Aramis 
Isabel Archer 
Enoch Arden 
The Artful Dodger 
Gustave von Aschenbach 
Lady Brett Ashley 
Athos 
Ayesha 
Dr. Aziz 
Baba-Yaga 
Babar 
Bilbo Baggins 
Frodo Baggins 
Harry Bailly 
David Balfour 
Mr. Barkis 
Jake Barnes 
Lily Bart 
Yevgeny Bazarov 
Adam Bede 
Belial 
Bennet family 
Bertram family 
Pierre Bezukhov 
Big Brother 
Big Daddy 
Rupert Birkin 
Anthony Blanche 
Leopold Bloom 
Molly Bloom 
Bluebeard 
Bobbsey Twins 
William Boldwood 
Bolkonsky family 
James Bond 
Boojum 
The Borrowers 
Josiah Bounderby 
Emma Bovary 
Sally Bowles 
Lady Augusta Bracknell 
Bradamante 
Matthew Bramble 
Colonel Brandon 
Dave Brandstetter 
Gudrun Brangwen 
Ursula Brangwen 
Brer Rabbit 
Brighella 
Hans Brinker 
Lily Briscoe 
Dorothea Brooke 
Father Brown 
Bruin 
Tom and Daisy Buchanan 
Inspector Bucket 
Buendía family 
Mr. Bumble 
Natty Bumppo 
Bunter 
Billy Bunter 
Rhett Butler 
Camille 
Don Camillo 
Albert Campion 
Capitano 
Philip Carey 
Nick Carraway 
Richard Carstone 
Nick Carter 
Sydney Carton 
Edward Casaubon 
Hans Castorp 
Cathbad 
Holden Caulfield 
Olive Chancellor 
Cheshire Cat 
Roger Chillingworth 
Chingachgook 
Mr. Chips 
Anna Christie 
Martin Chuzzlewit 
John Claggart 
Angel Clare 
Claudine 
Arthur Clennam 
Humphry Clinker 
Columbine 
Conan the Barbarian 
Conlaí 
David Copperfield 
Richard Cory 
Corydon 
Mother Courage 
Ichabod Crane 
Cratchit family 
Janie Crawford 
Gerald Crich 
Guy Crouchback 
Robinson Crusoe 
Cú Chulainn 
Sergeant Cuff 
Cunégonde 
D’Artagnan 
Edmond Dantès 
Fitzwilliam Darcy 
Charles Darnay 
Dashwood family 
Stephen Dedalus 
Lady Honoria Dedlock 
Madame Defarge 
Deirdre 
Jean Des Esseintes 
Mr. Dick 
Digenis Akritas 
Arthur Dimmesdale 
Dick and Nicole Diver 
Don Quixote 
Eliza Doolittle 
Lorna Doone 
Dorothy 
Dottore 
Nancy Drew 
Edwin Drood 
Bulldog Drummond 
Blanche DuBois 
The Duchess 
The Duke and the Dauphin 
Dulcinea 
C. Auguste Dupin 
Humphrey Chimpden Earwicker 
Eeyore 
Elliot family 
Lord Emsworth 
Enmerkar 
Henry Esmond 
Till Eulenspiegel 
Bathsheba Everdene 
Fagin 
Lord Fauntleroy 
Jude Fawley 
Richard Feverel 
Fezziwig 
Flora Finching 
Finn 
Huckleberry Finn 
Jeremiah Flintwinch 
Phileas Fogg 
Forsyte family 
Count Fosco 
Frankenstein 
Ethan Frome 
Fu Manchu 
Hedda Gabler 
Sairey Gamp 
Gandalf 
Eugene Gant 
Joe Gargery 
Jay Gatsby 
Gellert 
Beau Geste 
Gilgamesh 
Glass family 
Boris Godunov 
Golias 
Gollum 
Père Goriot 
Gradgrind 
Eugénie Grandet 
Emmeline Grangerford 
Dorian Gray 
Grendel 
Clyde Griffiths 
Grisette 
Titus Groan 
Mrs. Grundy 
Guermantes family 
Martin Guerre 
Guildenstern 
Prince Hal 
Mike Hammer 
Hardy Boys 
Jonathan Harker 
Harlequin 
Clarissa Harlowe 
Miss Havisham 
Jim Hawkins 
Asa and Sabbath Lily Hawks 
Headless horseman 
Heathcliff 
Uriah Heep 
Matt Helm 
Nora Helmer 
Michael Henchard 
Herne the Hunter 
Henry Higgins 
Fanny Hill 
Roy Hobbs 
Sherlock Holmes 
Horatio Hornblower 
Roderick Hudson 
Humbert Humbert 
Humpty Dumpty 
Mr. Hyde 
Iago 
Ilya of Murom 
Infant Phenomenon 
Isolde 
Jabberwock 
Mr. Jaggers 
Jarndyce family 
Dr. Jekyll 
Mrs. Jellyby 
Jim 
Gulley Jimson 
Joad family 
Joseph K. 
Juliet 
Karamazov brothers 
Anna Karenina 
Katharina 
Carol Kennicott 
Diedrich Knickerbocker 
George Knightley 
Stanley Kowalski 
Tonio Kröger 
Mr. Kurtz 
Will Ladislaw 
Lydia Languish 
Silas Lapham 
Wolf Larsen 
Lazarillo de Tormes 
Lear 
Simon Legree 
Lemminkäinen 
Inspector Lestrade 
Konstantine Levin 
Linton family 
Little Em’ly 
Little Eva 
Little Nell 
Lochinvar 
Lohengrin 
Willy Loman 
Studs Lonigan 
Lothario 
Robert Lovelace 
Sut Lovingood 
Lugalbanda 
Lulu 
Arsène Lupin 
Tertius Lydgate 
Barry Lyndon 
Macbeth 
Lady Macbeth 
Macheath 
Mad Hatter 
Madog ab Owain Gwynedd 
Maeldúin 
Abel Magwitch 
Jules Maigret 
Major Major 
Malcolm 
Alexander and Lucie Manette 
Marcel 
March Hare 
March family 
Augie March 
Marchmain family 
Jacob Marley 
Philip Marlowe 
Miss Marple 
Bertha Mason 
Perry Mason 
Travis McGee 
Wilhelm Meister 
Oliver Mellors 
Mr. Merdle 
Wilkins Micawber 
Daisy Miller 
Miranda 
Walter Mitty 
Mock Turtle 
Sara Monday 
Moomintroll 
Hank Morgan 
Professor Moriarty 
Catherine Morland 
Hazel Motes 
Mr. Moto 
Mowgli 
Mugridge 
Baron Munchausen 
Edward Murdstone 
Captain Nemo 
Nicholas Nickleby 
Scarlett O’Hara 
Gabriel Oak 
Oberon 
Odette 
Duke of Omnium 
Eugene Onegin 
Ophelia 
Orlando 
Orlando 
Gilbert Osmond 
Othello 
Palliser family 
Pancks 
Pangloss 
Pantaloon 
Panurge 
Peachum family 
Pearl 
Seth Pecksniff 
Pedrolino 
Peer Gynt 
Clara Peggotty 
Peter Pan 
Petruchio 
Samuel Pickwick 
Piglet 
Billy Pilgrim 
Pinocchio 
Pip 
Sir Fretful Plagiary 
Anna Livia Plurabelle 
Hercule Poirot 
Ross Poldark 
Aunt Polly 
Pollyanna 
Polonius 
Pontifex family 
Mary Poppins 
Porthos 
Portia 
Harry Potter 
Fanny Price 
Miss Prism 
Prospero 
J. Alfred Prufrock 
Hester Prynne 
Puck 
Puss in Boots 
Quasimodo 
Allan Quatermain 
Captain Queeg 
Queen of Hearts 
Queequeg 
Adela Quested 
Daniel Quilp 
A.J. Raffles 
Ramsay family 
Basil Ransom 
Rodion Raskolnikov 
Red Cross Knight 
Regan 
Reynard the Fox 
Richard III 
Tom Ripley 
Howard Roark 
Robin Hood 
Christopher Robin 
Mr. Rochester 
Rocinante 
Romeo 
Rosalind 
Rosencrantz 
Rostov family 
Roxane 
Barnaby Rudge 
Ruggiero 
Marmaduke Ruggles 
Horace Rumpole 
Charles Ryder 
The Saint 
Gregor Samsa 
Sancho Panza 
Tom Sawyer 
Scapin 
Scaramouche 
Ebenezer Scrooge 
Amelia Sedley 
The Shadow 
Shakuntala 
Becky Sharp 
Ántonia Shimerda 
Anne Shirley 
Shrek 
Shylock 
Bill Sikes 
Long John Silver 
Tyrone Slothrop 
Smike 
George Smiley 
Winston Smith 
Snark 
Snopes family 
Snowball 
Lucy Snowe 
Halvard Solness 
Hetty Sorrel 
Sam Spade 
Dora Spenlow 
Wackford Squeers 
